Customer_ID,PREDICT,PREDICT_PROBA
1090001,0,0.2257858560954983
1090002,0,0.37867904752899134
1090003,0,0.23421585973633932
1090004,1,0.5381871778633803
1090005,0,0.2737772556628277
1090006,0,0.20930691402069326
1090007,1,0.7322122778793853
1090008,0,0.14475422465618878
1090009,0,0.4904675002169833
1090010,0,0.3122676871168642
1090011,1,0.5031144535202113
1090012,1,0.5796949176027976
1090013,1,0.5668628336402314
1090014,0,0.21759873401077282
1090015,0,0.4808543359471948
1090016,0,0.46892509625711704
1090017,0,0.33249851553927695
1090018,1,0.6788929281701298
1090019,1,0.6469741253641728
1090020,0,0.20344721845110902
1090021,0,0.34748496111765687
1090022,1,0.7856008553848369
1090023,1,0.6277054310557487
1090024,0,0.3627073432458207
1090025,1,0.6685680887477738
1090026,1,0.5601392014380835
1090027,1,0.7620851422483051
1090028,1,0.754992543178435
1090029,0,0.17139330114094173
1090030,1,0.6417697218811554
1090031,1,0.5743460444824695
1090032,0,0.18728710851285663
1090033,0,0.36629036814098026
1090034,1,0.6738822813673758
1090035,1,0.6542034066340645
1090036,1,0.5236204333041539
1090037,0,0.39687653108456117
1090038,0,0.47073595408814817
1090039,1,0.5596174653762112
1090040,0,0.4553665788613201
1090041,0,0.23626682987110087
1090042,1,0.6069188661042058
1090043,0,0.31655630280374336
1090044,0,0.458043986591618
1090045,1,0.6387738194286251
1090046,0,0.212969732171324
1090047,0,0.3600410891031013
1090048,0,0.36183221320061154
1090049,0,0.4480473045160392
1090050,0,0.3474156501996788
1090051,1,0.624471326048449
1090052,1,0.7677082938028393
1090053,0,0.1742983421952921
1090054,1,0.5485517896539507
1090055,0,0.29873550850651515
1090056,0,0.28354555629648587
1090057,0,0.3845130166937614
1090058,0,0.2599251169795378
1090059,1,0.7359685583173883
1090060,1,0.5457071228491439
1090061,0,0.23615684288018182
1090062,1,0.6934883646685911
1090063,0,0.3319744607457658
1090064,0,0.457150458401497
1090065,0,0.46269247580345524
1090066,1,0.7500926997575357
1090067,1,0.6101832482693008
1090068,0,0.23645915097725717
1090069,0,0.3255231005641942
1090070,0,0.36400158205428523
1090071,1,0.7248538268542367
1090072,0,0.29775092994464974
1090073,1,0.5794388120474341
1090074,0,0.1731079216019578
1090075,1,0.604408351151685
1090076,0,0.23582683773171512
1090077,0,0.4743305315061137
1090078,1,0.6428662278902134
1090079,0,0.46158896608154854
1090080,0,0.31125556391954756
1090081,0,0.49218497641441195
1090082,0,0.338922010749564
1090083,1,0.5390007726343752
1090084,0,0.40848241833122506
1090085,0,0.17339607384372913
1090086,1,0.5387827954834763
1090087,0,0.3023429348916811
1090088,1,0.5854260257826502
1090089,1,0.7122873594480997
1090090,1,0.5267112816997456
1090091,0,0.4222852211421824
1090092,0,0.23816133360061922
1090093,0,0.4540631500809938
1090094,1,0.6402378004787419
1090095,0,0.3397976541749668
1090096,1,0.5054776043438214
1090097,0,0.3960124204251927
1090098,0,0.2894322719889868
1090099,1,0.6722398220234336
1090100,1,0.5754572570165716
1090101,1,0.8841586119021791
1090102,0,0.25750873834531113
1090103,1,0.68981126872438
1090104,1,0.5339728981660028
1090105,0,0.3272535976088211
1090106,1,0.7509345379649534
1090107,1,0.6375028296970033
1090108,0,0.4732432510995159
1090109,1,0.6387399429119895
1090110,1,0.5147228991066571
1090111,0,0.48108690165045304
1090112,0,0.28493284682606307
1090113,1,0.7649199190892417
1090114,1,0.6605584376820509
1090115,0,0.29612353268551056
1090116,1,0.5791841795876895
1090117,0,0.2936695974377859
1090118,1,0.5683952387682173
1090119,1,0.5118461561585494
1090120,0,0.3260433975272996
1090121,0,0.30449902508751775
1090122,0,0.403446186498369
1090123,0,0.36801460093373783
1090124,1,0.6552463812055308
1090125,0,0.3106670585857243
1090126,1,0.5254042397619759
1090127,0,0.4495180940139911
1090128,1,0.7338049214715846
1090129,0,0.2873426763844939
1090130,0,0.3702925690731955
1090131,1,0.5003825016785082
1090132,1,0.6382058967067091
1090133,1,0.6432216803800992
1090134,1,0.6579347577682587
1090135,1,0.6755169565861898
1090136,0,0.23906106546172265
1090137,0,0.2996016421258169
1090138,0,0.3133090314405543
1090139,1,0.5152699160276
1090140,0,0.39291152906329424
1090141,1,0.6031890281976229
1090142,1,0.6579253520600616
1090143,1,0.679371735032685
1090144,1,0.7531953490339243
1090145,1,0.5722387526950102
1090146,0,0.22998707836742557
1090147,1,0.8381826175734773
1090148,1,0.8512728034939875
1090149,0,0.291603239692773
1090150,0,0.3782898474501194
1090151,1,0.8291424318903751
1090152,1,0.5054652409334514
1090153,1,0.5752813315744214
1090154,0,0.38500260975976236
1090155,1,0.5741932410301384
1090156,1,0.5329985975748779
1090157,1,0.7620450838358843
1090158,0,0.3427426152855254
1090159,0,0.29906452186964405
1090160,0,0.35180899410860567
1090161,1,0.5641652463729849
1090162,1,0.725748289856278
1090163,0,0.26246668381971755
1090164,0,0.41590285692730067
1090165,1,0.5833766717180778
1090166,1,0.5117834092220414
1090167,0,0.4933963692788023
1090168,1,0.6294108409608001
1090169,1,0.6121362985897367
1090170,0,0.24184077942765742
1090171,0,0.24530935633974654
1090172,1,0.7239903823057837
1090173,0,0.1941416217640363
1090174,1,0.7218979078280655
1090175,0,0.3667584710927763
1090176,0,0.47244245335346763
1090177,0,0.3006488607765504
1090178,1,0.814027269685772
1090179,0,0.2836437452555161
1090180,1,0.6721657942078819
1090181,1,0.5452605972421722
1090182,1,0.7601013560934189
1090183,1,0.6263283651013821
1090184,0,0.14323633865801974
1090185,1,0.7818166002016838
1090186,0,0.23384968728686825
1090187,1,0.5847268280332657
1090188,1,0.6247686033473808
1090189,1,0.7401463168132205
1090190,1,0.7362112831296661
1090191,0,0.29198224670048556
1090192,1,0.6168819732680135
1090193,1,0.6022738003907601
1090194,1,0.5449551440070296
1090195,1,0.7077547445340917
1090196,1,0.9093786303181711
1090197,0,0.4769449452305987
1090198,1,0.6017671623685318
1090199,0,0.36314559285458986
1090200,1,0.6473842061255372
1090201,1,0.6027706439879447
1090202,0,0.1720959839081379
1090203,1,0.9091568772099284
1090204,1,0.8598019763868305
1090205,0,0.4625468536929414
1090206,0,0.2828682774378515
1090207,0,0.3800748212217817
1090208,1,0.6666618563974352
1090209,1,0.6120152214911441
1090210,0,0.39234938799396096
1090211,0,0.4187386708999591
1090212,1,0.6874845577418903
1090213,0,0.3113470093118673
